,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_bins_mean_420_t0,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_8_0.02,diffusion_420_bins_7_bagging
32_shuttle,0.9900313301053832,0.9661065223583024,0.9649672457989176,0.9641127883793792,0.191683281116491,0.9606949587012248,0.9179720877242952,0.6724579891768727,0.9507262888066078,0.9823412133295356,0.7168897749928795,0.9840501281686128,0.8461976644830532,0.9578467673027627,0.1825690686414127,0.0190828823696952,0.982626032469382,,,0.9814867559099972,0.9849045855881516,0.9800626602107662,0.975505553973227,0.9490173739675306,0.9846197664483052,0.9906009683850756,0.976929649672458,0.9843349473084592,0.9846197664483052,0.9846197664483052,0.988607234406152,0.9849045855881516,0.9846197664483052,0.9803474793506124,0.97977784107092,0.9774992879521504,0.9208202791227572,0.9831956707490744,0.9794930219310738,0.017373967530618,0.9789233836513812,0.9800626602107662,0.9894616918256908,0.9800626602107662,0.9906009683850756,0.9800626602107662,0.9797778410709199
38_thyroid,0.1290322580645161,0.7849462365591398,0.7526881720430108,0.7311827956989246,0.075268817204301,0.3010752688172043,0.5913978494623656,0.3763440860215054,0.7741935483870968,0.7526881720430108,0.6666666666666666,0.5268817204301075,0.7311827956989246,0.7419354838709677,0.4086021505376344,0.5268817204301075,0.7096774193548389,,,0.4086021505376344,0.7311827956989246,0.7419354838709677,0.7419354838709677,0.6881720430107527,0.7311827956989246,0.7634408602150536,0.3333333333333333,0.7311827956989246,0.5053763440860215,0.6129032258064516,0.5483870967741935,0.6451612903225806,0.5483870967741935,0.7634408602150536,0.7526881720430108,0.7956989247311826,0.5913978494623656,0.3225806451612903,0.7419354838709677,0.4946236559139785,0.6129032258064516,0.0967741935483871,0.4946236559139785,0.7419354838709677,0.6021505376344086,0.7741935483870968,0.35483870967741943
26_optdigits,0.46,0.08,0.0066666666666666,0.0133333333333333,0.0733333333333333,0.0,0.0,0.5333333333333333,0.4066666666666667,0.2133333333333333,0.04,0.5333333333333333,0.0,0.0066666666666666,0.0066666666666666,0.0133333333333333,0.0,,,0.34,0.3,0.0333333333333333,0.04,0.1,0.3,0.3133333333333333,0.2733333333333333,0.3,0.2266666666666666,0.2133333333333333,0.36,0.3066666666666666,0.24,0.08,0.0866666666666666,0.1533333333333333,0.1533333333333333,0.18,0.1266666666666666,0.0133333333333333,0.1133333333333333,0.1866666666666666,0.5866666666666667,0.0533333333333333,0.38,0.12,0.06
36_speech,0.0327868852459016,0.0491803278688524,0.0327868852459016,0.0163934426229508,0.0163934426229508,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0491803278688524,0.0327868852459016,0.0,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0491803278688524,0.0,0.0163934426229508,0.0163934426229508,0.0327868852459016,0.0327868852459016,0.0,0.0327868852459016,0.0163934426229508,0.0,0.0163934426229508,0.0163934426229508,0.0327868852459016,0.0,0.0491803278688524,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0491803278688524,0.0327868852459016,0.0655737704918032,0.0,0.0327868852459016,0.0327868852459016,0.0,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0491803278688524,0.0327868852459016,0.0327868852459016,0.04918032786885245
40_vowels,0.3,0.14,0.28,0.2,0.54,0.06,0.22,0.32,0.08,0.26,0.08,0.34,0.0,0.12,0.56,0.0,0.24,,,0.28,0.34,0.16,0.2,0.08,0.34,0.36,0.24,0.34,0.34,0.38,0.38,0.36,0.38,0.38,0.4000000000000001,0.4199999999999999,0.08,0.32,0.36,0.0,0.34,0.34,0.14,0.36,0.3,0.28,0.41999999999999993
16_http,0.0210526315789473,0.0210526315789473,0.9947368421052633,0.8894736842105263,,0.0210526315789473,0.0210526315789473,0.0,0.0210526315789473,1.0,0.0210526315789473,0.9894736842105264,0.9210526315789472,0.9210526315789472,,,0.0210526315789473,,,0.0210526315789473,0.0210526315789473,0.9947368421052633,0.9894736842105264,0.2789473684210526,0.0210526315789473,0.0210526315789473,0.0210526315789473,0.0210526315789473,0.0210526315789473,0.0210526315789473,0.9894736842105264,0.0210526315789473,0.0210526315789473,0.1157894736842105,0.0368421052631578,,0.0,0.963157894736842,0.2105263157894736,,0.0368421052631578,0.231578947368421,1.0,0.0894736842105263,0.9842105263157894,0.1578947368421052,
9_census,0.1441558441558441,0.1211038961038961,0.2081168831168831,0.2133116883116883,0.0993506493506493,0.0,0.0,0.0295454545454545,0.1097402597402597,0.224025974025974,0.1805194805194805,0.1318181818181818,0.2487012987012987,0.2097402597402597,0.1834415584415584,0.175,0.2103896103896103,,,0.1694805194805194,0.1788961038961039,0.1779220779220779,0.2185064935064935,0.0016233766233766,0.1801948051948051,0.1659090909090909,0.0733766233766233,0.1769480519480519,0.1762987012987013,0.1775974025974026,0.1899350649350649,0.1782467532467532,0.1759740259740259,0.2103896103896103,0.1711038961038961,0.1905844155844155,0.1318181818181818,0.174025974025974,0.2019480519480519,0.1824675324675324,0.1818181818181818,0.184090909090909,0.2363636363636363,0.2201298701298701,0.2363636363636363,0.2094155844155844,0.21655844155844156
8_celeba,0.0926430517711171,0.1771117166212534,0.2670299727520436,0.3060853769300636,0.0081743869209809,0.2270663033605812,0.2261580381471389,0.0254314259763851,0.2243415077202543,0.1662125340599455,0.0799273387829246,0.0163487738419618,0.1553133514986376,0.2706630336058129,0.0808356039963669,0.0,0.0762942779291553,0.2688465031789282,0.2688465031789282,0.1126248864668483,0.1008174386920981,0.0381471389645776,0.1825613079019073,0.0018165304268846,0.1008174386920981,0.0971843778383288,0.0926430517711171,0.1008174386920981,0.1135331516802906,0.0881017257039055,0.0790190735694822,0.1026339691189827,0.139872842870118,0.178928247048138,0.145322434150772,0.064486830154405,0.0853769300635785,0.1262488646684832,0.1898274296094459,0.0009082652134423,0.1562216167120799,0.1416893732970027,0.1289736603088101,0.1662125340599455,0.1080835603996367,0.1307901907356948,0.17166212534059946
41_Waveform,0.37,0.08,0.13,0.24,0.12,0.09,0.07,0.32,0.08,0.27,0.08,0.28,0.09,0.09,0.13,0.03,0.11,0.11,,0.26,0.09,0.06,0.12,0.0,0.09,0.19,0.05,0.09,0.09,0.11,0.13,0.08,0.09,0.11,0.12,0.15,0.47,0.11,0.12,0.03,0.16,0.12,0.2099999999999999,0.15,0.2099999999999999,0.2099999999999999,0.17
37_Stamps,0.35,0.7,0.65,0.74,0.18,0.68,0.51,0.66,0.66,0.83,0.7699999999999999,0.67,0.37,0.59,0.17,0.2099999999999999,0.44,0.78,,0.62,0.4199999999999999,0.65,0.6,0.41,0.4199999999999999,0.36,0.3,0.4199999999999999,0.45,0.36,0.4299999999999999,0.41,0.44,0.67,0.67,0.7,0.33,0.49,0.66,0.2099999999999999,0.67,0.65,0.8000000000000002,0.65,0.7699999999999999,0.65,0.65
