,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
count,57.0,57.0,57.0,30.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,30.0,30.0,57.0,47.0,57.0,30.0,57.0,57.0,57.0,57.0,57.0,32.0
mean,0.7581090673757633,0.7655736010469745,0.7811547266717288,0.5077828268943563,0.6885958044046838,0.6882574057199948,0.7700830919743763,0.7272106709302497,0.8087745691706629,0.6743243797045363,0.7860438390207815,0.7498803296828632,0.7410200363455431,0.6294990451483872,0.4861609106888348,0.6729614712628856,0.6758354515500503,0.8025795333017147,0.48525225211748774,0.8042247372945686,0.7990849290537674,0.7939619423105092,0.8068809770245554,0.8169498438085556,0.8277047470166048
std,0.18770565412396698,0.194188305517912,0.1820818945019297,0.13014102746368522,0.21196564490220587,0.20382821091238645,0.17684600002326767,0.1862182476090751,0.1817568993247742,0.19017849647140309,0.18029703039816672,0.18679448729428474,0.20310414122007223,0.18689343893431343,0.2663645084877054,0.192801389219789,0.16091463535648912,0.1782475095280057,0.2684719131808546,0.1751847823192833,0.18277285711642524,0.19895255309141716,0.17599381262571206,0.17800332151975742,0.16730035677750263
min,0.31820333333333334,0.3217066666666666,0.33060666666666666,0.28880333542380787,0.25589019262752666,0.3596068467262847,0.3753515141102963,0.3591066666666667,0.3542666666666666,0.30511999999999995,0.3752769162605228,0.27697012802275955,0.2606662720460171,0.11865445520717498,0.016585115390247776,0.3360922661744712,0.3716998577524893,0.3676333333333333,0.017920195062980752,0.37156,0.37540666666666667,0.06776550922198088,0.3728666666666667,0.3976133333333333,0.3759098677131464
25%,0.5890129431613098,0.6207949473684211,0.6381409473684211,0.419099898057387,0.5,0.5,0.6406844187551552,0.5789142205323193,0.6752841064638784,0.5357111286550652,0.6658409996462268,0.625938057256597,0.5817423345176996,0.5346588328515679,0.34187938758224257,0.5171878421052631,0.5451067382831833,0.6677978157894736,0.34858993078248623,0.6800033953083869,0.6611753421052632,0.6507918875053926,0.6904053992395438,0.697455116696589,0.76383773561566
50%,0.7748619996944495,0.7767320868541324,0.8110845427631579,0.5147252261375972,0.6799544975378174,0.6358031367415382,0.8009092921322516,0.7449840504937341,0.8411375789473684,0.6663801471561286,0.8339622808052183,0.7783300739603658,0.770662954338744,0.6392947915113352,0.5055048039677869,0.6020041123569799,0.672739567949711,0.8645894421503475,0.5103962478609383,0.8619845756578948,0.8736808838078487,0.8370813888616642,0.868481296175307,0.864058223890049,0.8712788245153664
75%,0.9177934093118769,0.9548105723251212,0.9366653133241473,0.5724036047124589,0.9059470652036116,0.8863416440799532,0.9268341474520843,0.8549595234840628,0.9733649173417624,0.8291267039384373,0.9410199535274838,0.8833817320031461,0.931461563534319,0.7449145697862083,0.6819665262232197,0.8567662849840925,0.8105193135064854,0.9549203684264487,0.6925848926100141,0.9555901509539803,0.9463505165377574,0.9683010903394454,0.9534284719742646,0.9823181263404845,0.9535339071938405
max,0.9964326380866432,1.0,1.0,0.92,0.9971081188173876,0.998734801982607,1.0,1.0,1.0,0.9963382249688915,1.0,0.9994378310322991,1.0,0.918951426247229,0.984047729942788,1.0,0.9876689401632801,1.0,0.9835698048675365,1.0,1.0,1.0,1.0,1.0,1.0
