,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4
count,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
mean,9.787234042553191,9.085106382978724,7.361702127659575,7.425531914893617,19.19148936170213,12.27659574468085,12.53191489361702,8.638297872340425,10.872340425531915,4.9361702127659575,14.042553191489361,7.76595744680851,10.48936170212766,10.0,20.0,20.04255319148936,12.76595744680851,14.914893617021276,18.829787234042552,19.46808510638298,9.446808510638299,8.361702127659575,9.702127659574469,8.553191489361701
std,6.852280389110608,4.09575489264318,4.156846274860482,3.5676364167639294,3.4239457144235144,4.972542555218583,5.212239207655078,6.155328310089997,5.002681981899898,4.109396736215082,3.787608209437206,5.824284863574489,5.679376651441262,5.217028972925857,1.841549442134554,1.8645135373080055,6.165164287657063,4.652394368279827,3.631499564116911,3.20902981295368,5.278374711307399,5.2354374922665405,5.204157592177463,4.267208183335563
min,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,9.0,9.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0
25%,3.0,6.0,4.0,5.0,20.0,9.5,9.5,3.0,7.0,2.0,12.0,2.5,5.5,5.0,20.0,20.0,7.5,14.0,20.0,20.0,5.0,3.5,5.0,5.0
50%,7.0,9.0,7.0,7.0,20.0,13.0,13.0,8.0,12.0,3.0,15.0,7.0,10.0,10.0,20.0,20.0,15.0,17.0,20.0,20.0,10.0,8.0,9.0,8.0
75%,17.0,12.0,10.0,9.0,20.0,16.0,17.0,14.0,15.0,8.0,16.5,12.0,15.0,13.5,20.0,20.0,18.0,18.0,20.0,20.0,13.5,13.0,13.5,11.0
max,20.0,19.0,16.0,21.0,22.0,19.0,20.0,20.0,19.0,18.0,19.0,21.0,20.0,19.0,23.0,23.0,19.0,21.0,23.0,23.0,19.0,19.0,19.0,19.0
