,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,AutoEncoder,VAE,diffusion_t_uniformn,diffusion_no_mean,diffusion_slow,diffusion_4
32_shuttle,0.9860685083534362,0.985592609630387,0.9766843145387318,0.968551175730398,0.1695313396996804,0.9805278710650962,0.9520492430925522,0.796144639217978,0.9748719451240656,0.9785923096165582,0.7234241380891371,0.9974660268045326,0.9089539235813048,0.962713299734448,0.206467690442733,0.0708507781332324,0.9819793591167568,0.96252308405303,,,0.9574681720637772,0.9966149469529346,0.9820802769419272,0.9864970113408503
38_thyroid,0.0946636240086444,0.749337305110235,0.7892005072030098,0.8130249423216135,0.0737234960861273,0.3018648994809832,0.6403435593045241,0.2775545690230764,0.7694955412011536,0.8094229556780009,0.5926523624659437,0.6057457162590333,0.8014125255977664,0.813421052388476,,,0.7324818210989422,0.4720112894206401,,,0.4599531728321866,0.7974251668221295,0.7851742839440756,0.7878339831897649
26_optdigits,0.3702071223629269,0.1546980112143162,0.0692143858176951,0.1265817946666577,0.0609134198643046,0.0559075661572866,0.0559075661572866,0.4598702749399769,0.4238072305633713,0.2911098729719137,0.0401759175226393,0.436265670730745,0.0718058791772122,0.0602197027858401,,,0.0464109794798541,0.0634768581536066,,,0.2998650736858754,0.2532986612801909,0.0977260205798803,0.11754951486226552
36_speech,0.0299965113669925,0.0305752672242016,0.0278050022611379,0.0269396265930648,0.0222865936570541,0.0278815665531377,0.0286733211686461,0.0289860188319071,0.0320978842973562,0.0280310472646631,0.0232770022248269,0.0315237721469434,0.0285375105675227,0.0277092917113783,,,0.0306290856622698,0.0291077108719452,0.0270297069369038,0.02771357371047,0.0274550443509518,0.0255310388859745,0.0272630180685929,0.025532983950151793
40_vowels,0.2915132307620096,0.1167845036722661,0.2742668687180272,0.2344959669704712,0.5322255570600649,0.0706370493752883,0.1771506028678248,0.2512661010133759,0.0787721123919029,0.302052045545569,0.0632583337273175,0.3309002392061522,0.0435059013916593,0.1050648365911076,,,0.1899407222635538,0.0502681031437968,,,0.2654678503640773,0.3145566570960906,0.1255400553230806,0.1875262954612635
16_http,0.0267151756083205,0.4209095702302435,0.9999451754385964,0.879532760436682,,0.4436304344355983,0.2476293818502994,0.084251288976599,0.4374198395251026,1.0,0.2293633079353903,0.9990868685090653,0.9118901136030853,0.9103846805973344,,,0.0189217294056822,0.4871175336585338,,,0.0265656406079553,0.081491164407408,0.9895833333333334,0.9851529837062092
9_census,0.1295749787595978,0.1487583352409277,0.2069281785813438,0.2043478846271981,,0.1160512434061793,0.1160512434061793,0.1200244666977179,0.1403263385503291,0.2212817607441311,0.1310495014026463,0.1362409880688819,0.2781982275356515,0.2019956880271003,,,0.1602913717718918,0.1146780591441586,,,0.1577083557134394,0.1537160661099601,0.1823883821340791,0.21334116489975535
8_celeba,0.0598905359652253,0.1130487920345835,0.2036951260207612,0.2258323285104225,0.0306988856749666,0.1652358544219672,0.1698448070977448,0.0376948904175532,0.1677536085523482,0.1148331456774376,0.047620540923496,0.0353460864007426,0.1374234234167589,0.2125980058945571,,,0.0339173896010555,0.0517639204689683,0.2007301878048994,0.2114600038197769,0.0904514812801739,0.0869460364317804,0.0414072713525889,0.12494170348250791
41_Waveform,0.3540783433180854,0.1103282715010512,0.1091086629614938,0.2109543617556671,0.0989121189678052,0.0988387421619707,0.0734766798258428,0.3146319307496273,0.0899663220836625,0.2700393950703784,0.0697318896079134,0.3066274875638964,0.078311223378513,0.0840761220751343,,,0.0833184890427425,0.0563478044748423,0.0993938586379843,,0.2390397610736373,0.0891875401628216,0.0671331373538388,0.09234666878605201
37_Stamps,0.3846285371378087,0.6580391291236859,0.6495095454373754,0.6820118547923517,0.2035295722860574,0.5914974827289174,0.5104932218416295,0.6606285014955386,0.5760370386786331,0.7962625291341927,0.7119118268705746,0.6791288370965903,0.4218623401101882,0.5911372660924559,,,0.4491351769291098,0.6141012099570756,0.6738765460105532,,0.5973700541934773,0.4482662565205039,0.6254120131132956,0.5900708965097363
