,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
count,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
mean,12.052631578947368,9.228070175438596,9.017543859649123,20.94736842105263,14.859649122807017,14.421052631578947,9.649122807017545,13.210526315789474,6.982456140350878,15.403508771929825,8.578947368421053,12.508771929824562,12.087719298245615,19.280701754385966,20.68421052631579,13.333333333333334,17.0,9.368421052631579,20.36842105263158,8.75438596491228,8.070175438596491,7.350877192982456,8.333333333333334,6.491228070175438,14.070175438596491
std,4.944047837810269,4.825592279931069,4.438030564137718,4.0945131082932145,6.32579355973628,6.619633590477682,7.152649928698193,5.9363794945875386,3.7535279979077942,4.1397879911329785,6.335690762940456,6.126997653878004,5.831811473518039,4.685671113561125,3.0305462422335334,6.263081547943511,4.898979485566356,4.673754910391217,3.2493492697295148,5.261995485671578,5.297774630927617,6.3541078615956765,4.722035477166499,5.603324290791086,7.090888643490741
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,10.0,6.0,5.0,20.0,10.0,12.0,3.0,9.0,4.0,13.0,3.0,9.0,8.0,19.0,19.0,7.0,16.0,6.0,19.0,4.0,4.0,2.0,5.0,2.0,8.0
50%,13.0,10.0,10.0,21.0,17.0,16.0,9.0,15.0,8.0,16.0,8.0,13.0,13.0,21.0,21.0,15.0,18.0,10.0,21.0,8.0,7.0,5.0,8.0,4.0,18.0
75%,15.0,13.0,12.0,24.0,19.0,19.0,15.0,17.0,9.0,18.0,12.0,17.0,17.0,21.0,22.0,19.0,20.0,12.0,22.0,12.0,12.0,11.0,11.0,9.0,21.0
max,23.0,18.0,20.0,25.0,23.0,25.0,24.0,25.0,15.0,23.0,25.0,25.0,24.0,25.0,25.0,24.0,23.0,21.0,25.0,20.0,24.0,22.0,20.0,19.0,23.0
