,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
count,57.0,57.0,57.0,30.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,30.0,30.0,57.0,47.0,57.0,30.0,57.0,57.0,57.0,57.0,57.0,32.0
mean,0.4403568852170732,0.5058484841611931,0.49974077194844313,0.2512066879111275,0.38800319852130166,0.40167946638839686,0.4725415081928707,0.4186711613487563,0.563185495571578,0.38302806855194926,0.5235945481088746,0.43731990563694123,0.4706993889416523,0.3347815074769514,0.30205531716716993,0.43950207278909914,0.37320776874894357,0.5140706248339639,0.3025255865891251,0.5165997917509366,0.5245446714230484,0.5585788118750913,0.5285065336034169,0.5900425048354347,0.5819455354754242
std,0.3052660900784787,0.32150164520173136,0.3071336073582904,0.18828864176541363,0.3019898962838206,0.29059060784995094,0.28013785275061176,0.30286425599516575,0.3163993228032744,0.27223089877383333,0.2843020110621419,0.3089512821592175,0.31396413303212817,0.22590358031457186,0.22555020878522092,0.3081337932973061,0.2387347454285701,0.2860328855623218,0.22363135849367696,0.2807630780207027,0.28845228006137846,0.32847180484310173,0.28408807095812527,0.3235008373845802,0.26650893425210764
min,0.01142358547863555,0.0278050022611379,0.026950337976403324,0.02163771303238355,0.010024707186463,0.0286733211686461,0.002699624890162925,0.011179795838108499,0.0280310472646631,0.030706817184206623,0.0315237721469434,0.012070257859957976,0.0277092917113783,0.02594106139601585,0.025388461422623528,0.022173372169468575,0.0335018137456987,0.026922003532378273,0.025456817134136025,0.027481718638385024,0.0272733477041757,0.03189398193315712,0.028703823865537076,0.03189398193315712,0.029391027916821126
25%,0.13242625975313155,0.20020847808595926,0.19731222930226283,0.10056595630693618,0.11068304225928297,0.11649337006364074,0.22209607675696913,0.1303584603612893,0.2700393950703784,0.1187743888252567,0.3066274875638964,0.14643119053173792,0.16164167206338767,0.16507205931907076,0.0749904100483667,0.12569146955235208,0.14229599273602056,0.25861707785818316,0.07416351933900622,0.3105631119666653,0.21385931817682896,0.21013953559104018,0.28099175553771005,0.2380367472385556,0.41659409557749466
50%,0.45011987981851737,0.4943211379772424,0.5073199574007478,0.1883627164828845,0.3350879182341293,0.36027648620782293,0.4975039606257411,0.36080599726821694,0.5561027779694974,0.3632195198821647,0.5353206370357855,0.39975143891590276,0.4678268203696571,0.3380603308467813,0.3279323661585164,0.4296914333446297,0.37214440196420423,0.5161246700404493,0.3328369529337823,0.5455343543816259,0.5410681489592589,0.5366861318355363,0.5423222565150568,0.5979091820487447,0.6260018414706521
75%,0.6853676009671775,0.7892005072030098,0.7665144087017709,0.39566124657089324,0.564191811081165,0.6403435593045241,0.6892940360790708,0.661496062901144,0.8586450188709244,0.5627501940897173,0.7270505812373262,0.6755666078404723,0.717815960945107,0.46008025739601954,0.4202355046479067,0.6948330514023752,0.5305723154912281,0.7538669032260591,0.41848360916880367,0.6983555255500561,0.758968430671476,0.8769432206236688,0.7609870439235056,0.8926526401346041,0.7839666298037542
max,0.9948125742736839,1.0,1.0,0.6447348753381459,0.9946494957426472,0.9921982990521911,1.0,1.0,1.0,0.9681322509555572,1.0,0.9830670139734992,1.0,0.8939723173467636,0.8641127966326245,1.0,0.8809166808305987,1.0,0.8619218370660793,1.0,1.0,1.0,1.0,1.0,1.0
