,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4
count,47.0,47.0,47.0,47.0,9.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,1.0,1.0,47.0,5.0,2.0,47.0,47.0,47.0,47.0
mean,0.5031872020141186,0.45615830466031954,0.5298736241146409,0.5305794822336161,0.15242133061152974,0.4017887089977018,0.41892273659602064,0.4874859058636756,0.4331656581793617,0.5948517786693579,0.4005871095289064,0.5592403206280733,0.44376891839545224,0.49361216990636086,0.1825690686414127,0.019538592993449122,0.45923574137731815,0.38828648453068537,0.15159440640077412,0.5120620381715231,0.5361682300228403,0.5030475441454367,0.5230109454541255
std,0.2999485406935986,0.29509734181716885,0.3047070883261221,0.29401198523680894,0.15965464420852216,0.3051092830012221,0.2816309858531941,0.27171834235115155,0.30219627536031834,0.2938958191445551,0.2724099558810854,0.2663887587218698,0.30277750832827666,0.2984775819463035,,,0.29146752206660165,0.359313762360811,0.1680192077291491,0.30462793401677796,0.2982450801251394,0.31774440252263203,0.30525534981416247
min,0.0,0.0,0.0066666666666666,0.01,0.01220824120062584,0.0,0.0,0.0,0.0,0.01,0.0070038910505836206,0.0194076529190375,0.0,0.0066666666666666,0.1825690686414127,0.019538592993449122,0.00466926070038902,0.01967213114754096,0.0327868852459016,0.0,0.0163934426229508,0.018,0.012
25%,0.33499999999999996,0.16606867741840892,0.2760866381016102,0.2693622782446312,0.0733333333333333,0.075,0.2001297852474323,0.32561343985043145,0.11475366518391535,0.4336827335754374,0.13348567023186758,0.39206767594394143,0.1678840562393223,0.23943879939862456,0.1825690686414127,0.019538592993449122,0.22083744672839656,0.11600000000000002,0.09219064582333786,0.2509472528815385,0.2875858964741185,0.17231758490073978,0.22788342452981764
50%,0.5157303370786517,0.4461538461538462,0.5512630014858841,0.562852897473997,0.12,0.41569549981879667,0.4484809247104127,0.5007429420505201,0.4247194615094708,0.6198501872659176,0.4394757846505407,0.6154675588798314,0.477119279819955,0.48836206896551715,0.1825690686414127,0.019538592993449122,0.4452337858220211,0.27197130547751025,0.1515944064007741,0.6098068350668647,0.604140227516114,0.5524517087667162,0.5725679195978793
75%,0.7236574886117777,0.6966804517700527,0.7655171868932364,0.7550178005841303,0.17389077551902335,0.6321120394145558,0.5942934223388383,0.6895798301961973,0.6927215247584397,0.8281312231537726,0.6069251003231457,0.7542481078629673,0.6945615182102205,0.7189240013623315,0.1825690686414127,0.019538592993449122,0.682296799362517,0.7112537747607701,0.21099816697821036,0.7281871956948834,0.7291794676634493,0.7495438488365411,0.7517717497556207
max,1.0,0.9698773565163792,1.0,1.0,0.54,0.9619611936594451,0.9475980502358581,1.0,1.0,1.0,0.956915744014281,1.0,0.9590619170129834,1.0,0.1825690686414127,0.019538592993449122,1.0,0.8225352112676056,0.2704019275556466,1.0,1.0,1.0,0.9958762886597938
