,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
count,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
mean,11.526315789473685,9.0,8.421052631578947,18.42105263157895,13.771929824561404,14.105263157894736,8.578947368421053,12.87719298245614,6.894736842105263,13.631578947368421,7.947368421052632,12.228070175438596,11.035087719298245,17.280701754385966,18.473684210526315,11.824561403508772,8.421052631578947,18.385964912280702,8.228070175438596,7.298245614035087,6.350877192982456,7.298245614035087,5.631578947368421,13.24561403508772
std,4.755092244703471,4.739650378908313,4.178804376258548,4.451915191485621,5.870682437391905,6.0050104392865,6.239125878624609,6.135581749803461,3.763946497106821,4.291318391104835,5.623360245540724,5.26110235549428,5.58046628965941,4.846775017491057,3.6698835285035893,5.791381549391006,4.399461689558705,3.8902551604017677,5.137458876650321,4.840177506635407,5.3100014395685955,4.551157279358035,4.904923106093685,6.775166581384828
min,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,8.0,5.0,5.0,18.0,8.0,12.0,3.0,7.0,4.0,11.0,3.0,8.0,6.0,16.0,18.0,7.0,5.0,18.0,4.0,4.0,2.0,4.0,2.0,8.0
50%,12.0,10.0,9.0,19.0,15.0,16.0,8.0,14.0,7.0,15.0,8.0,12.0,12.0,19.0,19.0,13.0,8.0,19.0,7.0,6.0,5.0,6.0,4.0,15.0
75%,15.0,13.0,11.0,20.0,18.0,18.0,13.0,17.0,10.0,17.0,12.0,16.0,15.0,20.0,20.0,16.0,11.0,20.0,12.0,10.0,8.0,10.0,8.0,19.0
max,21.0,20.0,17.0,24.0,22.0,23.0,21.0,24.0,17.0,19.0,21.0,24.0,21.0,24.0,24.0,23.0,22.0,24.0,20.0,21.0,21.0,19.0,19.0,24.0
