,diffusion,IForest,OCSVM,CBLOF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,DeepSVDD,diffusion_1
36_speech.npz,,,,,,,,,,,,,,,
8_celeba.npz,,,,,,,,,,,,,,,
41_Waveform.npz,,,,,,,,,,,,,,,
37_Stamps.npz,,,,,,,,,,,,,,,
31_satimage-2.npz,,,,,,,,,,,,,,,
9_census.npz,,,,,,,,,,,,,,,
43_WDBC.npz,,,,,,,,,,,,,,,
46_WPBC.npz,,,,,,,,,,,,,,,
19_landsat.npz,,,,,,,,,,,,,,,
27_PageBlocks.npz,,,,,,,,,,,,,,,
45_wine.npz,,,,,,,,,,,,,,,
42_WBC.npz,,,,,,,,,,,,,,,
17_InternetAds.npz,,,,,,,,,,,,,,,
6_cardio.npz,,,,,,,,,,,,,,,
23_mammography.npz,,,,,,,,,,,,,,,
47_yeast.npz,,,,,,,,,,,,,,,
4_breastw.npz,,,,,,,,,,,,,,,
26_optdigits.npz,,,,,,,,,,,,,,,
22_magic.gamma.npz,,,,,,,,,,,,,,,
12_fault.npz,,,,,,,,,,,,,,,
38_thyroid.npz,,,,,,,,,,,,,,,
2_annthyroid.npz,,,,,,,,,,,,,,,
32_shuttle.npz,,,,,,,,,,,,,,,
25_musk.npz,,,,,,,,,,,,,,,
30_satellite.npz,,,,,,,,,,,,,,,
35_SpamBase.npz,,,,,,,,,,,,,,,
29_Pima.npz,,,,,,,,,,,,,,,
24_mnist.npz,,,,,,,,,,,,,,,
40_vowels.npz,,,,,,,,,,,,,,,
10_cover.npz,,,,,,,,,,,,,,,
34_smtp.npz,,,,,,,,,,,,,,,
3_backdoor.npz,,,,,,,,,,,,,,,
16_http.npz,,,,,,,,,,,,,,,
18_Ionosphere.npz,,,,,,,,,,,,,,,
44_Wilt.npz,,,,,,,,,,,,,,,
13_fraud.npz,,,,,,,,,,,,,,,
21_Lymphography.npz,,,,,,,,,,,,,,,
1_ALOI.npz,,,,,,,,,,,,,,,
11_donors.npz,,,,,,,,,,,,,,,
20_letter.npz,,,,,,,,,,,,,,,
15_Hepatitis.npz,,,,,,,,,,,,,,,
5_campaign.npz,,,,,,,,,,,,,,,
33_skin.npz,,,,,,,,,,,,,,,
28_pendigits.npz,,,,,,,,,,,,,,,
7_Cardiotocography.npz,,,,,,,,,,,,,,,
14_glass.npz,,,,,,,,,,,,,,,
39_vertebral.npz,,,,,,,,,,,,,,,
36_speech,0.0,0.0491803278688524,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0327868852459016,0.0491803278688524,0.0491803278688524,0.0327868852459016,0.0,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0163934426229508,0.0163934426229508
8_celeba,0.13949104618284638,0.1950989632422243,0.1979264844486333,0.235626767200754,0.2148916116870876,0.2214891611687087,0.0160226201696512,0.2318567389255419,0.0320452403393025,0.0131950989632422,0.0282752120640904,0.295004712535344,0.2733270499528746,0.1489161168708765,0.0857681432610744
41_Waveform,0.25,0.11,0.08,0.27,0.09,0.07,0.31,0.08,0.27,0.05,0.3,0.09,0.09,0.13,0.09
37_Stamps,0.4810126582278481,0.4810126582278481,0.4936708860759494,0.6075949367088608,0.5949367088607594,0.4050632911392405,0.569620253164557,0.5316455696202531,0.620253164556962,0.430379746835443,0.4936708860759494,0.189873417721519,0.5063291139240507,0.2278481012658227,0.4936708860759494
31_satimage-2,0.8591549295774648,0.9014084507042254,0.8591549295774648,0.9295774647887324,0.8028169014084506,0.7887323943661971,0.8450704225352113,0.8450704225352113,0.9014084507042254,0.9014084507042254,0.8591549295774648,0.9577464788732394,0.8732394366197183,0.6619718309859155,0.9154929577464788
9_census,0.16285069332473395,0.1025475653015156,0.1035149951628506,0.1022250886810706,0.0,0.0,0.0245082231538213,0.1289906481780071,0.1441470493389229,0.0538535956143179,0.0296678490809416,0.2795872299258304,0.2099322799097065,0.2405675588519832,0.1805869074492099
43_WDBC,0.7391304347826085,0.782608695652174,0.9130434782608696,0.6521739130434783,0.782608695652174,0.6521739130434783,1.0,0.6956521739130435,0.8260869565217391,0.8695652173913043,0.9130434782608696,0.4782608695652174,0.782608695652174,0.782608695652174,0.5652173913043478
46_WPBC,0.3432203389830508,0.3813559322033898,0.3601694915254237,0.4364406779661017,0.4025423728813559,0.3644067796610169,0.3686440677966102,0.4957627118644068,0.4576271186440678,0.3644067796610169,0.423728813559322,0.4703389830508475,0.3855932203389831,0.6822033898305084,0.3432203389830508
19_landsat,0.32708177044261066,0.436609152288072,0.3240810202550637,0.3923480870217554,0.3383345836459114,0.3075768942235559,0.5393848462115529,0.5123780945236309,0.5168792198049512,0.304576144036009,0.5393848462115529,0.5468867216804201,0.3398349587396849,0.4253563390847712,0.2580645161290322
27_PageBlocks,0.6941176470588235,0.4352941176470588,0.5098039215686274,0.503921568627451,0.3666666666666666,0.492156862745098,0.6686274509803921,0.196078431372549,0.6058823529411764,0.4666666666666667,0.6882352941176471,0.5764705882352941,0.4686274509803921,0.6,0.5098039215686274
45_wine,0.7671232876712328,0.7671232876712328,0.726027397260274,0.8767123287671232,0.6027397260273972,0.3972602739726026,0.726027397260274,0.7808219178082192,0.8493150684931505,0.589041095890411,0.7945205479452053,0.7397260273972603,0.6712328767123288,0.7671232876712328,0.726027397260274
42_WBC,0.6956521739130435,0.8478260869565218,0.8478260869565218,0.8478260869565218,0.8478260869565218,0.8478260869565218,0.0,0.8478260869565218,0.8478260869565218,0.8478260869565218,0.217391304347826,0.9347826086956522,0.8478260869565218,0.5652173913043478,0.8478260869565218
17_InternetAds,0.7282608695652174,0.2146739130434783,0.5244565217391305,0.529891304347826,0.5,0.5,0.654891304347826,0.2798913043478261,0.5978260869565217,0.5190217391304348,0.6521739130434783,0.3369565217391304,0.4565217391304347,0.4918478260869565,0.5597826086956522
6_cardio,0.6704545454545454,0.6420454545454546,0.7954545454545455,0.7784090909090909,0.7045454545454546,0.7386363636363636,0.7045454545454546,0.5852272727272727,0.7386363636363636,0.6306818181818182,0.7215909090909091,0.5909090909090909,0.7613636363636364,0.3409090909090909,0.8011363636363636
23_mammography,0.023076923076923078,0.4192307692307693,0.3846153846153846,0.2769230769230769,0.5269230769230769,0.5307692307692308,0.3807692307692307,0.2692307692307692,0.4576923076923077,0.3423076923076923,0.3884615384615384,0.023076923076923,0.4461538461538462,0.2461538461538461,0.3115384615384615
47_yeast,0.4635108481262328,,,,,,,,,,,,,,0.5207100591715976
4_breastw,0.9367469879518072,,,,,,,,,,,,,,0.963855421686747
26_optdigits,0.32666666666666666,,,,,,,,,,,,,,0.0733333333333333
22_magic.gamma,0.6616327751196173,,,,,,,,,,,,,,0.6824162679425837
12_fault,0.6151560178306092,,,,,,,,,,,,,,0.5364041604754829
38_thyroid,0.3870967741935484,,,,,,,,,,,,,,0.6451612903225806
2_annthyroid,0.6423220973782772,,,,,,,,,,,,,,0.3052434456928839
32_shuttle,0.9820563941896896,,,,,,,,,,,,,,0.9544289376246085
25_musk,1.0,,,,,,,,,,,,,,1.0
30_satellite,0.7298624754420432,,,,,,,,,,,,,,0.6576620825147348
35_SpamBase,0.7546158427635498,,,,,,,,,,,,,,0.752829064919595
29_Pima,0.6827956989247311,,,,,,,,,,,,,,0.7150537634408602
24_mnist,0.6085714285714285,,,,,,,,,,,,,,0.7071428571428572
40_vowels,0.36,,,,,,,,,,,,,,0.08
10_cover,0.30603448275862066,,,,,,,,,,,,,,0.3275862068965517
34_smtp,0.0,,,,,,,,,,,,,,0.6666666666666666
3_backdoor,0.6001628664495114,,,,,,,,,,,,,,0.2980456026058632
16_http,0.04081632653061224,,,,,,,,,,,,,,0.3724489795918367
18_Ionosphere,0.9380530973451328,,,,,,,,,,,,,,0.7669616519174041
44_Wilt,0.1828793774319066,,,,,,,,,,,,,,0.0389105058365758
13_fraud,0.6521739130434783,,,,,,,,,,,,,,0.4673913043478261
21_Lymphography,0.8648648648648649,,,,,,,,,,,,,,1.0
1_ALOI,0.03647214854111406,,,,,,,,,,,,,,0.1027851458885941
11_donors,0.8868638239339752,,,,,,,,,,,,,,0.4092159559834938
20_letter,0.01,,,,,,,,,,,,,,0.01
15_Hepatitis,0.6234567901234568,,,,,,,,,,,,,,0.4567901234567901
5_campaign,0.41616379310344825,,,,,,,,,,,,,,0.4073275862068966
33_skin,0.8764359494159668,,,,,,,,,,,,,,0.8200598513370017
28_pendigits,0.00641025641025641,,,,,,,,,,,,,,0.5384615384615384
7_Cardiotocography,0.4356223175965665,,,,,,,,,,,,,,0.6502145922746781
14_glass,0.32,,,,,,,,,,,,,,0.22
39_vertebral,0.1485148514851485,,,,,,,,,,,,,,0.0891089108910891
