,diffusion,IForest,OCSVM,CBLOF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,DeepSVDD,DAGMM,diffusion_1
36_speech.npz,,,,,,,,,,,,,,,,
8_celeba.npz,,,,,,,,,,,,,,,,
41_Waveform.npz,,,,,,,,,,,,,,,,
37_Stamps.npz,,,,,,,,,,,,,,,,
31_satimage-2.npz,,,,,,,,,,,,,,,,
9_census.npz,,,,,,,,,,,,,,,,
43_WDBC.npz,,,,,,,,,,,,,,,,
46_WPBC.npz,,,,,,,,,,,,,,,,
19_landsat.npz,,,,,,,,,,,,,,,,
27_PageBlocks.npz,,,,,,,,,,,,,,,,
45_wine.npz,,,,,,,,,,,,,,,,
42_WBC.npz,,,,,,,,,,,,,,,,
17_InternetAds.npz,,,,,,,,,,,,,,,,
6_cardio.npz,,,,,,,,,,,,,,,,
23_mammography.npz,,,,,,,,,,,,,,,,
47_yeast.npz,,,,,,,,,,,,,,,,
4_breastw.npz,,,,,,,,,,,,,,,,
26_optdigits.npz,,,,,,,,,,,,,,,,
22_magic.gamma.npz,,,,,,,,,,,,,,,,
12_fault.npz,,,,,,,,,,,,,,,,
38_thyroid.npz,,,,,,,,,,,,,,,,
2_annthyroid.npz,,,,,,,,,,,,,,,,
32_shuttle.npz,,,,,,,,,,,,,,,,
25_musk.npz,,,,,,,,,,,,,,,,
30_satellite.npz,,,,,,,,,,,,,,,,
35_SpamBase.npz,,,,,,,,,,,,,,,,
29_Pima.npz,,,,,,,,,,,,,,,,
24_mnist.npz,,,,,,,,,,,,,,,,
40_vowels.npz,,,,,,,,,,,,,,,,
10_cover.npz,,,,,,,,,,,,,,,,
34_smtp.npz,,,,,,,,,,,,,,,,
3_backdoor.npz,,,,,,,,,,,,,,,,
16_http.npz,,,,,,,,,,,,,,,,
18_Ionosphere.npz,,,,,,,,,,,,,,,,
44_Wilt.npz,,,,,,,,,,,,,,,,
13_fraud.npz,,,,,,,,,,,,,,,,
21_Lymphography.npz,,,,,,,,,,,,,,,,
1_ALOI.npz,,,,,,,,,,,,,,,,
11_donors.npz,,,,,,,,,,,,,,,,
20_letter.npz,,,,,,,,,,,,,,,,
15_Hepatitis.npz,,,,,,,,,,,,,,,,
5_campaign.npz,,,,,,,,,,,,,,,,
33_skin.npz,,,,,,,,,,,,,,,,
28_pendigits.npz,,,,,,,,,,,,,,,,
7_Cardiotocography.npz,,,,,,,,,,,,,,,,
14_glass.npz,,,,,,,,,,,,,,,,
39_vertebral.npz,,,,,,,,,,,,,,,,
36_speech,0.031002944533087134,0.0246027498359348,0.0281729427488366,0.0282401118420073,0.0278815665531377,0.0286733211686461,0.0302521983116701,0.0307554400722999,0.0287981164763872,0.0504012860399603,0.0311938480440361,0.0284131714124402,0.0277092917113783,0.0348376416231842,0.0308829004629689,0.0272664156202888
8_celeba,0.10716173394384948,0.123267180570692,0.1440651543851727,0.1584351287205117,0.1647742669097303,0.1679840033222716,0.0325838003466015,0.1751964493245476,0.0669541755674743,0.0701457024372611,0.0364126475957451,0.2097649390517411,0.2007936995255901,0.0378269541970748,0.0371773380975424,0.0641806848458143
41_Waveform,0.17059614062114375,0.0941234464446624,0.0695312797850374,0.2762987922726207,0.0988387421619707,0.0734766798258428,0.3235052043697491,0.0881888842029062,0.2872294152368406,0.0677692805547665,0.3286160320390475,0.0783479953461337,0.0840761220751343,0.1656025879969539,0.0648805477141108,0.0817968089763984
37_Stamps,0.6517694629346938,0.6232146061711479,0.5751443790633924,0.6319844175129138,0.570025546322263,0.4986988076194337,0.7469177363801365,0.5633468057779033,0.7555571682744611,0.4678213381151349,0.7288923959132787,0.4581128218097745,0.6594561760767861,0.5147465414476755,0.7370404396743726,0.4093711987612197
31_satimage-2,0.9471453673114097,0.9474705748863972,0.9077286894975944,0.9663249290445416,0.8527119710673836,0.796596721114712,0.9382909248543232,0.9057568899723016,0.9687464677219692,0.9376394986216544,0.9242127008109104,0.9830975390040242,0.919214111289047,0.8032533709398334,0.3158547152359331,0.9617204644310964
9_census,0.1506600959829279,0.1377594630867146,0.118067193325181,0.1291731863622263,0.1134923030485964,0.1134923030485964,0.0969572231288968,0.1483417643809552,0.1566747042214509,0.0901981418064672,0.1012564719883116,0.3209505533449064,0.1902574077691363,0.188558157533788,0.1586810187791175,0.1983275248619791
43_WDBC,0.939045555092086,0.8543470418470419,0.945890098463628,0.813400046771486,0.8884516250033492,0.6074377819121137,0.9829192546583853,0.8140222883518082,0.9145934784170078,0.4826978437838166,0.9641076568994188,0.576665476433381,0.8770119573409048,0.9857764247396354,0.117072075436885,0.8012002433632639
46_WPBC,0.44595840853654434,0.4142872602422726,0.4071412842915498,0.4313622715334942,0.3773745345242172,0.3641128742585442,0.4498275772833192,0.4115300923526452,0.4803867348832427,0.4099059823280333,0.4523785646494671,0.4540300148089267,0.3992550159003044,0.7493823809443408,0.4037736215025372,0.4101194861523068
19_landsat,0.3341889194262104,0.4583747945781032,0.3261839385602021,0.3767549208897681,0.3382256472806171,0.3109210286186628,0.6150462671919359,0.5997029971888418,0.5514289081809651,0.3540347198945166,0.6141216541458211,0.3467693321851776,0.3272128030043703,0.5325144681713561,0.503006481290196,0.3541865776447893
27_PageBlocks,0.6724786581028653,0.4578127572059768,0.6191026602689008,0.6095852583498083,0.4151417299540282,0.585416733094317,0.7326698503651241,0.2817804784767656,0.690298403695462,0.4038279075755877,0.7257193982369688,0.6312202866174113,0.5935259442472628,0.4463447698566772,0.6350833535801079,0.6171592123581132
45_wine,0.9254243126614783,0.5704935844718704,0.7046468908975464,0.9004648188690741,0.4545923371825477,0.2522695499010097,0.8372976741452218,0.5563833574978847,0.943931018711032,0.8175978041450938,0.8579328707109521,0.6983179297579674,0.5925102911444677,0.8210628019323671,0.4360470073102696,0.7575841774581938
42_WBC,0.8879610222467366,0.950767629456154,0.96984126984127,0.9660098522167488,0.9342923742923744,0.9342923742923744,0.2347120342490853,0.9194873130211476,0.9562627551020408,0.5954595441278905,0.2173568028497828,0.7670073053771427,0.9611607142857144,0.4621841614115606,,0.96984126984127
17_InternetAds,0.7420810607378381,,,,,,,,,,,,,,,0.644037073905764
6_cardio,0.774734546605477,,,,,,,,,,,,,,,0.8739536239294086
23_mammography,0.03956600780571931,,,,,,,,,,,,,,,0.4009408477365807
47_yeast,0.47433467310116906,,,,,,,,,,,,,,,0.466809681449677
4_breastw,0.9852601883949963,,,,,,,,,,,,,,,0.9952223149422996
26_optdigits,0.2875734991871943,,,,,,,,,,,,,,,0.1076943268317047
22_magic.gamma,0.7332000370802333,,,,,,,,,,,,,,,0.7913823421178405
12_fault,0.6849297460282182,,,,,,,,,,,,,,,0.5833684251074528
38_thyroid,0.5065087038421341,,,,,,,,,,,,,,,0.7362594809418148
2_annthyroid,0.6124564012569846,,,,,,,,,,,,,,,0.3451751479057423
32_shuttle,0.9631602977827054,,,,,,,,,,,,,,,0.976085574428586
25_musk,1.0,,,,,,,,,,,,,,,1.0
30_satellite,0.8465459494847827,,,,,,,,,,,,,,,0.8068214059192289
35_SpamBase,0.7877814562185153,,,,,,,,,,,,,,,0.7753035955018759
29_Pima,0.7205083881568819,,,,,,,,,,,,,,,0.7361714136871631
24_mnist,0.6860795284814073,,,,,,,,,,,,,,,0.7006821018952876
40_vowels,0.4089067436598378,,,,,,,,,,,,,,,0.1249082833741441
10_cover,0.28777601206404635,,,,,,,,,,,,,,,0.3286914045943617
34_smtp,0.0009932560123442965,,,,,,,,,,,,,,,0.6579159556639945
3_backdoor,0.37432736914891207,,,,,,,,,,,,,,,0.0931218245440152
16_http,0.012767832336488715,,,,,,,,,,,,,,,0.6346305763657137
18_Ionosphere,0.9814466250579875,,,,,,,,,,,,,,,0.918897702552733
44_Wilt,0.14846758492450368,,,,,,,,,,,,,,,0.0810320761803774
13_fraud,0.6214191797923968,,,,,,,,,,,,,,,0.4043352411752362
21_Lymphography,1.0,,,,,,,,,,,,,,,1.0
1_ALOI,0.059453776153112876,,,,,,,,,,,,,,,0.0802221411721571
11_donors,0.9324296163065573,,,,,,,,,,,,,,,0.5949064890760645
20_letter,0.0875627473428387,,,,,,,,,,,,,,,0.0820148057482842
15_Hepatitis,0.785356381349431,,,,,,,,,,,,,,,0.5770430461549404
5_campaign,0.43521904050157095,,,,,,,,,,,,,,,0.4223439052445543
33_skin,0.8894745260179975,,,,,,,,,,,,,,,0.6749690675940136
28_pendigits,0.04265018685138887,,,,,,,,,,,,,,,0.5263588254047125
7_Cardiotocography,0.5671227272733211,,,,,,,,,,,,,,,0.7161429189735742
14_glass,0.3068587545221785,,,,,,,,,,,,,,,0.1765320103970176
39_vertebral,0.2325673719770775,,,,,,,,,,,,,,,0.1747494345080041
