,diffusion,IForest,OCSVM,CBLOF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,DeepSVDD,diffusion_1
36_speech.npz,,,,,,,,,,,,,,,
8_celeba.npz,,,,,,,,,,,,,,,
41_Waveform.npz,,,,,,,,,,,,,,,
37_Stamps.npz,,,,,,,,,,,,,,,
31_satimage-2.npz,,,,,,,,,,,,,,,
9_census.npz,,,,,,,,,,,,,,,
43_WDBC.npz,,,,,,,,,,,,,,,
46_WPBC.npz,,,,,,,,,,,,,,,
19_landsat.npz,,,,,,,,,,,,,,,
27_PageBlocks.npz,,,,,,,,,,,,,,,
45_wine.npz,,,,,,,,,,,,,,,
42_WBC.npz,,,,,,,,,,,,,,,
17_InternetAds.npz,,,,,,,,,,,,,,,
6_cardio.npz,,,,,,,,,,,,,,,
23_mammography.npz,,,,,,,,,,,,,,,
47_yeast.npz,,,,,,,,,,,,,,,
4_breastw.npz,,,,,,,,,,,,,,,
26_optdigits.npz,,,,,,,,,,,,,,,
22_magic.gamma.npz,,,,,,,,,,,,,,,
12_fault.npz,,,,,,,,,,,,,,,
38_thyroid.npz,,,,,,,,,,,,,,,
2_annthyroid.npz,,,,,,,,,,,,,,,
32_shuttle.npz,,,,,,,,,,,,,,,
25_musk.npz,,,,,,,,,,,,,,,
30_satellite.npz,,,,,,,,,,,,,,,
35_SpamBase.npz,,,,,,,,,,,,,,,
29_Pima.npz,,,,,,,,,,,,,,,
24_mnist.npz,,,,,,,,,,,,,,,
40_vowels.npz,,,,,,,,,,,,,,,
10_cover.npz,,,,,,,,,,,,,,,
34_smtp.npz,,,,,,,,,,,,,,,
3_backdoor.npz,,,,,,,,,,,,,,,
16_http.npz,,,,,,,,,,,,,,,
18_Ionosphere.npz,,,,,,,,,,,,,,,
44_Wilt.npz,,,,,,,,,,,,,,,
13_fraud.npz,,,,,,,,,,,,,,,
21_Lymphography.npz,,,,,,,,,,,,,,,
1_ALOI.npz,,,,,,,,,,,,,,,
11_donors.npz,,,,,,,,,,,,,,,
20_letter.npz,,,,,,,,,,,,,,,
15_Hepatitis.npz,,,,,,,,,,,,,,,
5_campaign.npz,,,,,,,,,,,,,,,
33_skin.npz,,,,,,,,,,,,,,,
28_pendigits.npz,,,,,,,,,,,,,,,
7_Cardiotocography.npz,,,,,,,,,,,,,,,
14_glass.npz,,,,,,,,,,,,,,,
39_vertebral.npz,,,,,,,,,,,,,,,
36_speech,0.03278688524590164,0.0655737704918032,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0327868852459016,0.0491803278688524,0.0491803278688524,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0,0.0
8_celeba,0.11071744906997343,0.1346324180690876,0.1948627103631532,0.0797165633303808,0.224977856510186,0.220549158547387,0.0186005314437555,0.2294065544729849,0.024800708591674,0.0593445527015057,0.0256864481842338,0.1408325952170062,0.266607617360496,0.1647475642161204,0.1257750221434898
41_Waveform,0.22,0.11,0.08,0.29,0.09,0.07,0.3,0.08,0.27,0.06,0.3,0.09,0.09,0.16,0.1
37_Stamps,0.7368421052631579,0.6736842105263158,0.631578947368421,0.8105263157894737,0.6947368421052632,0.5157894736842106,0.7263157894736842,0.5789473684210527,0.7894736842105263,0.5789473684210527,0.7263157894736842,0.2842105263157894,0.6842105263157895,0.4000000000000001,0.631578947368421
31_satimage-2,0.8450704225352113,0.9154929577464788,0.8591549295774648,0.9295774647887324,0.8028169014084506,0.7887323943661971,0.8450704225352113,0.8450704225352113,0.9014084507042254,0.8450704225352113,0.8591549295774648,0.9577464788732394,0.8732394366197183,0.8169014084507042,0.9154929577464788
9_census,0.15498270983967305,0.1182018233259981,0.1005972964476579,0.1119144922980194,0.0,0.0,0.0172901603269412,0.1339201508959446,0.1480666457088965,0.0003143665513989,0.0348946872052813,0.3099654196793461,0.205281358063502,0.1842187991197736,0.2816724300534423
43_WDBC,0.8275862068965517,0.5862068965517241,0.896551724137931,0.6896551724137931,0.7931034482758621,0.4827586206896552,0.9310344827586208,0.7241379310344829,0.896551724137931,0.6896551724137931,0.9310344827586208,0.6206896551724138,0.7931034482758621,0.7931034482758621,0.7241379310344829
46_WPBC,0.4107142857142857,0.3348214285714285,0.28125,0.4330357142857143,0.3035714285714285,0.3303571428571428,0.3660714285714285,0.4464285714285714,0.4642857142857143,0.34375,0.34375,0.3839285714285714,0.3214285714285714,0.6160714285714286,0.34375
19_landsat,0.2595648912228057,0.4426106526631658,0.3240810202550637,0.3953488372093023,0.3383345836459114,0.3075768942235559,0.5408852213053263,0.5123780945236309,0.5168792198049512,0.3405851462865716,0.5393848462115529,0.5468867216804201,0.3398349587396849,0.3803450862715678,0.2385596399099775
27_PageBlocks,0.7058823529411765,0.4254901960784313,0.5098039215686274,0.503921568627451,0.3666666666666666,0.492156862745098,0.6666666666666666,0.196078431372549,0.6058823529411764,0.4470588235294118,0.6882352941176471,0.5764705882352941,0.4686274509803921,0.5549019607843138,0.5058823529411764
45_wine,0.6875,0.675,0.7375,0.7,0.5875,0.45,0.8125,0.775,0.9125,0.85,0.825,0.7375,0.675,0.8000000000000002,0.7375
42_WBC,0.7111111111111111,0.9111111111111112,0.9111111111111112,0.9111111111111112,0.9111111111111112,0.9111111111111112,0.0,0.9111111111111112,0.9111111111111112,0.8444444444444444,0.2666666666666666,0.8888888888888888,0.9111111111111112,0.4666666666666667,0.9111111111111112
17_InternetAds,0.7445652173913043,0.2798913043478261,0.5244565217391305,0.532608695652174,0.5,0.5,0.6277173913043478,0.2798913043478261,0.5978260869565217,0.3858695652173913,0.6521739130434783,0.3369565217391304,0.4565217391304347,0.529891304347826,0.5434782608695652
6_cardio,0.6818181818181818,0.6988636363636364,0.7954545454545455,0.8068181818181818,0.7045454545454546,0.7386363636363636,0.7045454545454546,0.5852272727272727,0.7386363636363636,0.6704545454545454,0.7215909090909091,0.5909090909090909,0.7613636363636364,0.375,0.8125
23_mammography,0.03076923076923077,0.3846153846153846,0.3846153846153846,0.2538461538461538,0.5269230769230769,0.5307692307692308,0.3730769230769231,0.2692307692307692,0.4576923076923077,0.4000000000000001,0.3884615384615384,0.0153846153846153,0.4461538461538462,0.4576923076923077,0.3230769230769231
47_yeast,0.47337278106508873,,,,,,,,,,,,,,0.4398422090729783
4_breastw,0.9464285714285714,,,,,,,,,,,,,,0.9583333333333334
26_optdigits,0.4666666666666667,,,,,,,,,,,,,,0.0666666666666666
22_magic.gamma,0.6363636363636364,,,,,,,,,,,,,,0.6934808612440191
12_fault,0.5928677563150074,,,,,,,,,,,,,,0.5453194650817236
38_thyroid,0.6129032258064516,,,,,,,,,,,,,,0.6774193548387096
2_annthyroid,0.6329588014981273,,,,,,,,,,,,,,0.3352059925093633
32_shuttle,0.9820563941896896,,,,,,,,,,,,,,0.9544289376246085
25_musk,1.0,,,,,,,,,,,,,,1.0
30_satellite,0.7229862475442044,,,,,,,,,,,,,,0.6547151277013753
35_SpamBase,0.7534246575342466,,,,,,,,,,,,,,0.7182846932698034
29_Pima,0.6705202312138728,,,,,,,,,,,,,,0.7109826589595376
24_mnist,0.6428571428571429,,,,,,,,,,,,,,0.6728571428571428
40_vowels,0.38,,,,,,,,,,,,,,0.08
10_cover,0.28174603174603174,,,,,,,,,,,,,,0.3928571428571428
34_smtp,0.0,,,,,,,,,,,,,,0.65
3_backdoor,0.5350949628406276,,,,,,,,,,,,,,0.35177539223782
16_http,0.9941860465116279,,,,,,,,,,,,,,0.1976744186046511
18_Ionosphere,0.9224598930481284,,,,,,,,,,,,,,0.8235294117647058
44_Wilt,0.18677042801556423,,,,,,,,,,,,,,0.0622568093385214
13_fraud,0.7866666666666666,,,,,,,,,,,,,,0.52
21_Lymphography,1.0,,,,,,,,,,,,,,1.0
1_ALOI,0.04045092838196287,,,,,,,,,,,,,,0.1034482758620689
11_donors,0.8728323699421965,,,,,,,,,,,,,,0.4603876232573954
20_letter,0.01,,,,,,,,,,,,,,0.0
15_Hepatitis,0.6906474820143885,,,,,,,,,,,,,,0.4388489208633093
5_campaign,0.4366379310344828,,,,,,,,,,,,,,0.4452586206896551
33_skin,0.8702969339394526,,,,,,,,,,,,,,0.8144888287068381
28_pendigits,0.03205128205128205,,,,,,,,,,,,,,0.5448717948717948
7_Cardiotocography,0.48497854077253216,,,,,,,,,,,,,,0.6394849785407726
14_glass,0.30952380952380953,,,,,,,,,,,,,,0.2142857142857142
39_vertebral,0.2753623188405797,,,,,,,,,,,,,,0.0869565217391304
