,diffusion,IForest,OCSVM,CBLOF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,DeepSVDD,DAGMM,diffusion_1
36_speech.npz,,,,,,,,,,,,,,,,
8_celeba.npz,,,,,,,,,,,,,,,,
41_Waveform.npz,,,,,,,,,,,,,,,,
37_Stamps.npz,,,,,,,,,,,,,,,,
31_satimage-2.npz,,,,,,,,,,,,,,,,
9_census.npz,,,,,,,,,,,,,,,,
43_WDBC.npz,,,,,,,,,,,,,,,,
46_WPBC.npz,,,,,,,,,,,,,,,,
19_landsat.npz,,,,,,,,,,,,,,,,
27_PageBlocks.npz,,,,,,,,,,,,,,,,
45_wine.npz,,,,,,,,,,,,,,,,
42_WBC.npz,,,,,,,,,,,,,,,,
17_InternetAds.npz,,,,,,,,,,,,,,,,
6_cardio.npz,,,,,,,,,,,,,,,,
23_mammography.npz,,,,,,,,,,,,,,,,
47_yeast.npz,,,,,,,,,,,,,,,,
4_breastw.npz,,,,,,,,,,,,,,,,
26_optdigits.npz,,,,,,,,,,,,,,,,
22_magic.gamma.npz,,,,,,,,,,,,,,,,
12_fault.npz,,,,,,,,,,,,,,,,
38_thyroid.npz,,,,,,,,,,,,,,,,
2_annthyroid.npz,,,,,,,,,,,,,,,,
32_shuttle.npz,,,,,,,,,,,,,,,,
25_musk.npz,,,,,,,,,,,,,,,,
30_satellite.npz,,,,,,,,,,,,,,,,
35_SpamBase.npz,,,,,,,,,,,,,,,,
29_Pima.npz,,,,,,,,,,,,,,,,
24_mnist.npz,,,,,,,,,,,,,,,,
40_vowels.npz,,,,,,,,,,,,,,,,
10_cover.npz,,,,,,,,,,,,,,,,
34_smtp.npz,,,,,,,,,,,,,,,,
3_backdoor.npz,,,,,,,,,,,,,,,,
16_http.npz,,,,,,,,,,,,,,,,
18_Ionosphere.npz,,,,,,,,,,,,,,,,
44_Wilt.npz,,,,,,,,,,,,,,,,
13_fraud.npz,,,,,,,,,,,,,,,,
21_Lymphography.npz,,,,,,,,,,,,,,,,
1_ALOI.npz,,,,,,,,,,,,,,,,
11_donors.npz,,,,,,,,,,,,,,,,
20_letter.npz,,,,,,,,,,,,,,,,
15_Hepatitis.npz,,,,,,,,,,,,,,,,
5_campaign.npz,,,,,,,,,,,,,,,,
33_skin.npz,,,,,,,,,,,,,,,,
28_pendigits.npz,,,,,,,,,,,,,,,,
7_Cardiotocography.npz,,,,,,,,,,,,,,,,
14_glass.npz,,,,,,,,,,,,,,,,
39_vertebral.npz,,,,,,,,,,,,,,,,
36_speech,0.4159304838461747,0.3535214706174894,0.3654209579268127,0.3643358982937438,0.3703308527664499,0.3596068467262847,0.3731158391579937,0.3649598075827583,0.365981572070565,0.4029097682493466,0.3743184469179784,0.3935420867505176,0.3637843263136003,0.5113614785745932,0.491360212671688,0.3956850795258289
8_celeba,0.7574286709547864,0.7139120812533211,0.7154593935650193,0.7460189141526055,0.7516988551281962,0.7575738071436728,0.3745775816157798,0.7694097164255279,0.6481918150266557,0.6249775488674834,0.4406878699222168,0.8416682627363943,0.7979636459640965,0.4049126653738688,0.455043129640568,0.5843843554921448
41_Waveform,0.6332256134051464,0.7030999401555954,0.5524296828246559,0.7460442848593657,0.7235667265110712,0.5943985637342908,0.7765948533812088,0.6841532016756434,0.7624715739078396,0.5745541591861161,0.7664631956912028,0.584230999401556,0.6467564332734889,0.6340813883901856,0.5180371035308199,0.6102184320766009
37_Stamps,0.9337240537240538,0.945885225885226,0.9113553113553114,0.9317460317460318,0.9352869352869352,0.8774603174603175,0.9636141636141636,0.931013431013431,0.966031746031746,0.8689133089133089,0.9600732600732602,0.8526251526251526,0.9436385836385836,0.7263003663003662,0.9527716727716729,0.7997313797313799
31_satimage-2,0.9976607727312936,0.9910804674523064,0.979974052268952,0.9937784417601212,0.9791926717317162,0.970877603373205,0.99493331236547,0.9829963732148648,0.996761447962022,0.9820282476435724,0.9943829059493036,0.9992137051197624,0.9817333870634836,0.9538395761870596,0.920456444177978,0.992761172758814
9_census,0.6102611993938307,0.6329702410301618,0.5572041050785466,0.6074713543364556,0.5,0.5,0.4735740938136142,0.6562825711845928,0.6748193105752722,0.395658634629525,0.4920903807076261,0.749120599239617,0.7017139333698266,0.5962544934651621,0.6341429380917711,0.6951005821384717
43_WDBC,0.9964460590743959,0.9945506239140736,0.997393776654557,0.986810930342758,0.9951034591691676,0.9637498025588376,0.9990522824198388,0.987600694992892,0.9945506239140736,0.9601958616332332,0.9982625177697046,0.9703838256199652,0.9934449534038856,0.9992892118148792,0.7778392039172327,0.9857842362975834
46_WPBC,0.5630305626022689,0.5616907719171087,0.5060565128103757,0.585356746724651,0.4883427228500203,0.4801392503761297,0.5903754708485707,0.5654685423736259,0.6498533917569927,0.5059796395743419,0.5899471771049539,0.6268682941828924,0.5047277040160775,0.8590474307866328,0.5501817502937656,0.5053426899043477
19_landsat,0.48674232454624833,0.5691188575270043,0.4438122466720169,0.5795979571137394,0.4929358564650963,0.4201203182018554,0.6614907352867225,0.7278213124429677,0.6834067395719962,0.4496334785381959,0.6652078542959926,0.5006203530498461,0.4390355722995821,0.6240639932621337,0.4896429418997242,0.4130444116321122
27_PageBlocks,0.9052208593392294,0.8361018065562973,0.8707408567687625,0.8583785173225373,0.80848414744841,0.8795439027720879,0.9194857459575392,0.7035552770883036,0.8972761083130507,0.8117494437348884,0.9167136580154388,0.8704042862536248,0.8612261127310409,0.7548923215332836,0.8854130017430979,0.8685575664104233
45_wine,0.9869258459323254,0.9128005759539236,0.9146724262059036,0.983585313174946,0.7967746580273578,0.6572210223182146,0.9778545716342693,0.9005039596832253,0.9909863210943124,0.9631389488840892,0.9889416846652268,0.9453707703383728,0.9155075593952484,0.923686105111591,0.8223182145428366,0.9567170626349892
42_WBC,0.9869860987873411,0.9944395149364093,0.9966282165039928,0.9959183673469388,0.9951493640934634,0.9951493640934634,0.8742975451049986,0.9946169772256728,0.9944986690328304,0.9695947944395148,0.8606329488317066,0.9835551611949128,0.9948535936113576,0.9212658976634132,,0.9966282165039928
17_InternetAds,0.8419695815421451,,,,,,,,,,,,,,,0.7165750666594112
6_cardio,0.921169066725294,,,,,,,,,,,,,,,0.975156645047818
23_mammography,0.4599347823024805,,,,,,,,,,,,,,,0.8921185891566774
47_yeast,0.4379303251412737,,,,,,,,,,,,,,,0.4158347551457508
4_breastw,0.9872055919892814,,,,,,,,,,,,,,,0.9951431492842536
26_optdigits,0.9212659560468481,,,,,,,,,,,,,,,0.7528622187129885
22_magic.gamma,0.6757605107380029,,,,,,,,,,,,,,,0.7509984914960417
12_fault,0.6606582888427446,,,,,,,,,,,,,,,0.5269568437384281
38_thyroid,0.8827962836277312,,,,,,,,,,,,,,,0.9626082431428956
2_annthyroid,0.866911972096086,,,,,,,,,,,,,,,0.66885087385143
32_shuttle,0.9983305597216552,,,,,,,,,,,,,,,0.987704199159818
25_musk,1.0,,,,,,,,,,,,,,,1.0
30_satellite,0.8336565289991611,,,,,,,,,,,,,,,0.7075261259136363
35_SpamBase,0.7743698215483901,,,,,,,,,,,,,,,0.7770085230057071
29_Pima,0.733468570298868,,,,,,,,,,,,,,,0.7574674013013692
24_mnist,0.8959945357453327,,,,,,,,,,,,,,,0.8505600861034068
40_vowels,0.866628733997155,,,,,,,,,,,,,,,0.5073684210526316
10_cover,0.9272830837214985,,,,,,,,,,,,,,,0.9692329184522708
34_smtp,0.2503960249219131,,,,,,,,,,,,,,,0.8678394810367025
3_backdoor,0.9288173552776523,,,,,,,,,,,,,,,0.6769578232700313
16_http,0.005076142131979695,,,,,,,,,,,,,,,0.995577410403064
18_Ionosphere,0.9733470985503505,,,,,,,,,,,,,,,0.8970361767109735
44_Wilt,0.6144567625981505,,,,,,,,,,,,,,,0.4033659890450123
13_fraud,0.9352048169503399,,,,,,,,,,,,,,,0.9084792789572246
21_Lymphography,1.0,,,,,,,,,,,,,,,1.0
1_ALOI,0.5228761200415204,,,,,,,,,,,,,,,0.5406291585426595
11_donors,0.9959986321958392,,,,,,,,,,,,,,,0.9628864153754524
20_letter,0.35945333333333335,,,,,,,,,,,,,,,0.3195199999999999
15_Hepatitis,0.8974769666902906,,,,,,,,,,,,,,,0.7953791637136781
5_campaign,0.730418830409136,,,,,,,,,,,,,,,0.6723006919572938
33_skin,0.9658869323308246,,,,,,,,,,,,,,,0.9063617035364084
28_pendigits,0.4779832420583091,,,,,,,,,,,,,,,0.956888781955806
7_Cardiotocography,0.6285274907287803,,,,,,,,,,,,,,,0.8031337243218467
14_glass,0.5998111144248931,,,,,,,,,,,,,,,0.5553235908141962
39_vertebral,0.5522714224864345,,,,,,,,,,,,,,,0.3879474785636239
