,diffusion,IForest,OCSVM,CBLOF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,DeepSVDD,DAGMM,diffusion_1
36_speech.npz,,,,,,,,,,,,,,,,
8_celeba.npz,,,,,,,,,,,,,,,,
41_Waveform.npz,,,,,,,,,,,,,,,,
37_Stamps.npz,,,,,,,,,,,,,,,,
31_satimage-2.npz,,,,,,,,,,,,,,,,
9_census.npz,,,,,,,,,,,,,,,,
43_WDBC.npz,,,,,,,,,,,,,,,,
46_WPBC.npz,,,,,,,,,,,,,,,,
19_landsat.npz,,,,,,,,,,,,,,,,
27_PageBlocks.npz,,,,,,,,,,,,,,,,
45_wine.npz,,,,,,,,,,,,,,,,
42_WBC.npz,,,,,,,,,,,,,,,,
17_InternetAds.npz,,,,,,,,,,,,,,,,
6_cardio.npz,,,,,,,,,,,,,,,,
23_mammography.npz,,,,,,,,,,,,,,,,
47_yeast.npz,,,,,,,,,,,,,,,,
4_breastw.npz,,,,,,,,,,,,,,,,
26_optdigits.npz,,,,,,,,,,,,,,,,
22_magic.gamma.npz,,,,,,,,,,,,,,,,
12_fault.npz,,,,,,,,,,,,,,,,
38_thyroid.npz,,,,,,,,,,,,,,,,
2_annthyroid.npz,,,,,,,,,,,,,,,,
32_shuttle.npz,,,,,,,,,,,,,,,,
25_musk.npz,,,,,,,,,,,,,,,,
30_satellite.npz,,,,,,,,,,,,,,,,
35_SpamBase.npz,,,,,,,,,,,,,,,,
29_Pima.npz,,,,,,,,,,,,,,,,
24_mnist.npz,,,,,,,,,,,,,,,,
40_vowels.npz,,,,,,,,,,,,,,,,
10_cover.npz,,,,,,,,,,,,,,,,
34_smtp.npz,,,,,,,,,,,,,,,,
3_backdoor.npz,,,,,,,,,,,,,,,,
16_http.npz,,,,,,,,,,,,,,,,
18_Ionosphere.npz,,,,,,,,,,,,,,,,
44_Wilt.npz,,,,,,,,,,,,,,,,
13_fraud.npz,,,,,,,,,,,,,,,,
21_Lymphography.npz,,,,,,,,,,,,,,,,
1_ALOI.npz,,,,,,,,,,,,,,,,
11_donors.npz,,,,,,,,,,,,,,,,
20_letter.npz,,,,,,,,,,,,,,,,
15_Hepatitis.npz,,,,,,,,,,,,,,,,
5_campaign.npz,,,,,,,,,,,,,,,,
33_skin.npz,,,,,,,,,,,,,,,,
28_pendigits.npz,,,,,,,,,,,,,,,,
7_Cardiotocography.npz,,,,,,,,,,,,,,,,
14_glass.npz,,,,,,,,,,,,,,,,
39_vertebral.npz,,,,,,,,,,,,,,,,
36_speech,0.02933201569924509,0.0416012717228223,0.0281729427488366,0.0277557699799578,0.0278815665531377,0.0286733211686461,0.0309474055637867,0.0307554400722999,0.0287981164763872,0.0299675307555096,0.0311938480440361,0.0295602335538287,0.0277092917113783,0.0459766814263906,0.0282090006177941,0.0244647231327883
8_celeba,0.09196465348586308,0.1516149614773981,0.1614840976572391,0.1769597109536299,0.1798835370082649,0.1846927633713621,0.030661037853634,0.1940528868065113,0.0686870454623065,0.1805715702003031,0.0354109640192687,0.1429304419501421,0.2218499948547375,0.0491221228954479,0.1123179494497877,0.0796019791512504
41_Waveform,0.11640739956911307,0.089051587527139,0.0695312797850374,0.2894040766926303,0.0988387421619707,0.0734766798258428,0.3691301724525244,0.0881888842029062,0.2872294152368406,0.0948125669416315,0.3286160320390475,0.0782405921287559,0.0840761220751343,0.0766162788960961,0.0686525013600782,0.0908849268027822
37_Stamps,0.6090523039020002,0.7054482723890874,0.6105333353457416,0.6556497964245175,0.6546585049310681,0.5359691426307339,0.6971980631426402,0.6612477710755285,0.8316268325399907,0.6943767561317847,0.6656245212838657,0.4955051921388458,0.6740304924611958,0.4730717172202059,0.5848754783678065,0.5376875295425178
31_satimage-2,0.9457557552330412,0.9540728824801088,0.9077286894975944,0.965377579622114,0.8527119710673836,0.796596721114712,0.9413473766694024,0.9057568899723016,0.9687464677219692,0.934064366517334,0.9242127008109104,0.9830975390040242,0.919214111289047,0.673991900483438,0.3984944871954301,0.9621407990253346
9_census,0.14558400477842717,0.135178377726904,0.1202116818504753,0.1281995371460714,0.1169026815305815,0.1169026815305815,0.1042405292086625,0.1506610340581251,0.1590879729643844,0.1239644336086774,0.1072148939127993,0.3120620589192079,0.1949747070924875,0.1840353020349544,0.1680173072305195,0.2288825397269798
43_WDBC,0.9598839517546611,0.919551966285146,0.9720117845117846,0.9026221197289844,0.9351837855083291,0.659869727531114,1.0,0.9484355918690872,0.9696184551672355,0.9444127907669576,1.0,0.6614653516358822,0.9049757022590068,0.9058768347803317,0.4261201550163248,0.7404371705745016
46_WPBC,0.4709275472310507,0.4547082491546992,0.4688511284760876,0.4594915046598414,0.4247959182465685,0.3840556501553914,0.4302940214986337,0.4701950300778351,0.4915231193348987,0.4395908832013681,0.443512685984022,0.4726249550555367,0.4487150183833448,0.6787210909336968,0.398221255040819,0.4534615657603161
19_landsat,0.34420549580029536,0.4687245939392215,0.3261839385602021,0.3779623764327868,0.3382256472806171,0.3109210286186628,0.6198943861417903,0.5997029971888418,0.5514289081809651,0.3500515831503934,0.6141216541458211,0.4296780363288512,0.3272128030043703,0.4844933168741531,0.4566191002135623,0.3187237147500646
27_PageBlocks,0.6847851731402466,0.4523931720590264,0.6191026602689008,0.6108063056956318,0.4151417299540282,0.585416733094317,0.7210673499066427,0.2817804784767656,0.690298403695462,0.4204168189527126,0.7257193982369688,0.6322035459185138,0.5935259442472628,0.5597291672055076,0.5994800696818993,0.6355124798736356
45_wine,0.92361597954258,0.7519521199644991,0.8185066716577345,0.8617168562102757,0.5637342101057595,0.3335407123076308,0.9484122678766188,0.8114333244522282,0.9796560891905484,0.4706600184930215,0.947963901025775,0.8652366950871578,0.7475931164082995,0.988712429096125,0.2797838252893048,0.8074259862104403
42_WBC,0.6178930222344645,0.9424338880537516,0.9648382559774964,0.9722222222222222,0.9357592271745472,0.9358058775135952,0.1125831588233544,0.9312609124221488,0.9473676249253132,0.8423892856176713,0.282882796611299,0.9280303030303032,0.9128750955402692,0.5536610472624682,,0.9604501338688084
17_InternetAds,0.7510446877748866,,,,,,,,,,,,,,,0.629308988769211
6_cardio,0.8027497765625995,,,,,,,,,,,,,,,0.8746061680537837
23_mammography,0.044784131839827455,,,,,,,,,,,,,,,0.4006475975212699
47_yeast,0.47723794564326727,,,,,,,,,,,,,,,0.4804942227566651
4_breastw,0.9769617569756548,,,,,,,,,,,,,,,0.9860342086346576
26_optdigits,0.32813543960915437,,,,,,,,,,,,,,,0.1808010406732114
22_magic.gamma,0.7361520165178168,,,,,,,,,,,,,,,0.7811565543220172
12_fault,0.6772461002288443,,,,,,,,,,,,,,,0.5747874174052197
38_thyroid,0.5174064663574589,,,,,,,,,,,,,,,0.7482977220434521
2_annthyroid,0.6151405153999031,,,,,,,,,,,,,,,0.350939068992859
32_shuttle,0.9585322360521087,,,,,,,,,,,,,,,0.9746282543442788
25_musk,1.0,,,,,,,,,,,,,,,0.9999999999999998
30_satellite,0.847818567605064,,,,,,,,,,,,,,,0.7920091920208663
35_SpamBase,0.7874771819445686,,,,,,,,,,,,,,,0.7635608293285226
29_Pima,0.7020512636595035,,,,,,,,,,,,,,,0.7248631799518344
24_mnist,0.6179421425362248,,,,,,,,,,,,,,,0.7520456820538426
40_vowels,0.42644569907960816,,,,,,,,,,,,,,,0.0947729249235141
10_cover,0.1658092364882878,,,,,,,,,,,,,,,0.2693541983277276
34_smtp,0.0009436840611210971,,,,,,,,,,,,,,,0.3628062349067148
3_backdoor,0.4516605607756501,,,,,,,,,,,,,,,0.0327696896270143
16_http,0.020950993942998,,,,,,,,,,,,,,,0.5745202606337461
18_Ionosphere,0.9879719288968628,,,,,,,,,,,,,,,0.9239105904037548
44_Wilt,0.14788692455585398,,,,,,,,,,,,,,,0.0842363619165828
13_fraud,0.8088782819526934,,,,,,,,,,,,,,,0.5406337129965327
21_Lymphography,0.9897901304594441,,,,,,,,,,,,,,,1.0
1_ALOI,0.06005919256983188,,,,,,,,,,,,,,,0.0808724289396761
11_donors,0.9096283068537209,,,,,,,,,,,,,,,0.5024777228140476
20_letter,0.08773588813466156,,,,,,,,,,,,,,,0.0815692896835575
15_Hepatitis,0.8124729420543564,,,,,,,,,,,,,,,0.5601980546167671
5_campaign,0.41810459653135224,,,,,,,,,,,,,,,0.4331050908844592
33_skin,0.8766518050746684,,,,,,,,,,,,,,,0.6827980286880478
28_pendigits,0.04204377749269538,,,,,,,,,,,,,,,0.5336033819249564
7_Cardiotocography,0.5594479248721284,,,,,,,,,,,,,,,0.719312742482171
14_glass,0.28388781323850154,,,,,,,,,,,,,,,0.1392116128951157
39_vertebral,0.2226037345068956,,,,,,,,,,,,,,,0.1836328994066773
