,diffusion,IForest,OCSVM,CBLOF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,DeepSVDD,diffusion_1
36_speech.npz,,,,,,,,,,,,,,,
8_celeba.npz,,,,,,,,,,,,,,,
41_Waveform.npz,,,,,,,,,,,,,,,
37_Stamps.npz,,,,,,,,,,,,,,,
31_satimage-2.npz,,,,,,,,,,,,,,,
9_census.npz,,,,,,,,,,,,,,,
43_WDBC.npz,,,,,,,,,,,,,,,
46_WPBC.npz,,,,,,,,,,,,,,,
19_landsat.npz,,,,,,,,,,,,,,,
27_PageBlocks.npz,,,,,,,,,,,,,,,
45_wine.npz,,,,,,,,,,,,,,,
42_WBC.npz,,,,,,,,,,,,,,,
17_InternetAds.npz,,,,,,,,,,,,,,,
6_cardio.npz,,,,,,,,,,,,,,,
23_mammography.npz,,,,,,,,,,,,,,,
47_yeast.npz,,,,,,,,,,,,,,,
4_breastw.npz,,,,,,,,,,,,,,,
26_optdigits.npz,,,,,,,,,,,,,,,
22_magic.gamma.npz,,,,,,,,,,,,,,,
12_fault.npz,,,,,,,,,,,,,,,
38_thyroid.npz,,,,,,,,,,,,,,,
2_annthyroid.npz,,,,,,,,,,,,,,,
32_shuttle.npz,,,,,,,,,,,,,,,
25_musk.npz,,,,,,,,,,,,,,,
30_satellite.npz,,,,,,,,,,,,,,,
35_SpamBase.npz,,,,,,,,,,,,,,,
29_Pima.npz,,,,,,,,,,,,,,,
24_mnist.npz,,,,,,,,,,,,,,,
40_vowels.npz,,,,,,,,,,,,,,,
10_cover.npz,,,,,,,,,,,,,,,
34_smtp.npz,,,,,,,,,,,,,,,
3_backdoor.npz,,,,,,,,,,,,,,,
16_http.npz,,,,,,,,,,,,,,,
18_Ionosphere.npz,,,,,,,,,,,,,,,
44_Wilt.npz,,,,,,,,,,,,,,,
13_fraud.npz,,,,,,,,,,,,,,,
21_Lymphography.npz,,,,,,,,,,,,,,,
1_ALOI.npz,,,,,,,,,,,,,,,
11_donors.npz,,,,,,,,,,,,,,,
20_letter.npz,,,,,,,,,,,,,,,
15_Hepatitis.npz,,,,,,,,,,,,,,,
5_campaign.npz,,,,,,,,,,,,,,,
33_skin.npz,,,,,,,,,,,,,,,
28_pendigits.npz,,,,,,,,,,,,,,,
7_Cardiotocography.npz,,,,,,,,,,,,,,,
14_glass.npz,,,,,,,,,,,,,,,
39_vertebral.npz,,,,,,,,,,,,,,,
36_speech,0.04918032786885245,0.0327868852459016,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0327868852459016,0.0491803278688524,0.0491803278688524,0.0327868852459016,0.0655737704918032,0.0327868852459016,0.0163934426229508,0.0327868852459016,0.0163934426229508,0.0
8_celeba,0.10822898032200358,0.2137745974955277,0.220035778175313,0.2647584973166368,0.2450805008944543,0.2450805008944543,0.016994633273703,0.2531305903398926,0.0330948121645796,0.2316636851520572,0.01520572450805,0.1216457960644007,0.2772808586762075,0.0805008944543828,0.1144901610017889
41_Waveform,0.19,0.08,0.08,0.3,0.09,0.07,0.35,0.08,0.27,0.06,0.3,0.09,0.09,0.1,0.1
37_Stamps,0.5585585585585585,0.7477477477477479,0.5585585585585585,0.6756756756756757,0.7477477477477479,0.5765765765765766,0.6216216216216216,0.7297297297297297,0.8468468468468469,0.6936936936936937,0.6036036036036037,0.3963963963963964,0.6936936936936937,0.4234234234234234,0.5315315315315315
31_satimage-2,0.8591549295774648,0.9014084507042254,0.8591549295774648,0.9295774647887324,0.8028169014084506,0.7887323943661971,0.8591549295774648,0.8450704225352113,0.9014084507042254,0.8732394366197183,0.8591549295774648,0.9577464788732394,0.8732394366197183,0.676056338028169,0.9154929577464788
9_census,0.14948453608247422,0.0956829896907216,0.0860180412371134,0.087951030927835,0.0,0.0,0.0170747422680412,0.1146907216494845,0.1307989690721649,0.128221649484536,0.0322164948453608,0.3186211340206185,0.2087628865979381,0.2274484536082474,0.2615979381443299
43_WDBC,0.8888888888888888,0.8611111111111112,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.5833333333333334,1.0,0.8611111111111112,0.8888888888888888,0.8611111111111112,1.0,0.6666666666666666,0.8888888888888888,0.8333333333333334,0.75
46_WPBC,0.4491525423728814,0.4364406779661017,0.3855932203389831,0.4576271186440678,0.3813559322033898,0.3728813559322034,0.4533898305084746,0.5169491525423728,0.4915254237288136,0.4110169491525423,0.4576271186440678,0.4491525423728814,0.3771186440677966,0.673728813559322,0.4067796610169492
19_landsat,0.3038259564891223,0.4261065266316579,0.3240810202550637,0.3923480870217554,0.3383345836459114,0.3075768942235559,0.5416354088522131,0.5123780945236309,0.5168792198049512,0.3720930232558139,0.5393848462115529,0.5468867216804201,0.3398349587396849,0.4141035258814703,0.237059264816204
27_PageBlocks,0.703921568627451,0.4411764705882353,0.5098039215686274,0.503921568627451,0.3666666666666666,0.492156862745098,0.6725490196078432,0.196078431372549,0.6058823529411764,0.3862745098039215,0.6882352941176471,0.5764705882352941,0.4686274509803921,0.5803921568627451,0.5215686274509804
45_wine,0.8068181818181818,0.6704545454545454,0.6931818181818182,0.6590909090909091,0.5909090909090909,0.4204545454545454,0.9090909090909092,0.7727272727272727,0.9204545454545456,0.4772727272727273,0.8863636363636365,0.715909090909091,0.6931818181818182,0.9318181818181818,0.6931818181818182
42_WBC,0.6851851851851852,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8333333333333334,0.8333333333333334,0.0,0.8888888888888888,0.8148148148148148,0.7592592592592593,0.2777777777777778,0.7777777777777778,0.8518518518518519,0.5,0.8888888888888888
17_InternetAds,0.7336956521739132,,,,,,,,,,,,,,0.5489130434782609
6_cardio,0.7272727272727273,,,,,,,,,,,,,,0.8238636363636364
23_mammography,0.03461538461538462,,,,,,,,,,,,,,0.3346153846153846
47_yeast,0.46153846153846156,,,,,,,,,,,,,,0.4497041420118343
4_breastw,0.9490445859872612,,,,,,,,,,,,,,0.9585987261146496
26_optdigits,0.38,,,,,,,,,,,,,,0.1666666666666666
22_magic.gamma,0.625,,,,,,,,,,,,,,0.6804724880382775
12_fault,0.612184249628529,,,,,,,,,,,,,,0.5364041604754829
38_thyroid,0.44086021505376344,,,,,,,,,,,,,,0.6559139784946236
2_annthyroid,0.6179775280898876,,,,,,,,,,,,,,0.3258426966292135
32_shuttle,0.9806322984904585,,,,,,,,,,,,,,0.9544289376246085
25_musk,1.0,,,,,,,,,,,,,,1.0
30_satellite,0.7259332023575639,,,,,,,,,,,,,,0.6439096267190569
35_SpamBase,0.7546158427635498,,,,,,,,,,,,,,0.7379392495533055
29_Pima,0.6598837209302325,,,,,,,,,,,,,,0.7354651162790699
24_mnist,0.5914285714285714,,,,,,,,,,,,,,0.72
40_vowels,0.36,,,,,,,,,,,,,,0.08
10_cover,0.21267893660531698,,,,,,,,,,,,,,0.3353783231083844
34_smtp,0.0,,,,,,,,,,,,,,0.6153846153846154
3_backdoor,0.5229885057471264,,,,,,,,,,,,,,0.0435139573070607
16_http,0.022598870056497175,,,,,,,,,,,,,,0.3220338983050847
18_Ionosphere,0.9478021978021978,,,,,,,,,,,,,,0.8049450549450551
44_Wilt,0.14396887159533073,,,,,,,,,,,,,,0.0778210116731517
13_fraud,0.8085106382978723,,,,,,,,,,,,,,0.574468085106383
21_Lymphography,0.9512195121951219,,,,,,,,,,,,,,1.0
1_ALOI,0.04973474801061008,,,,,,,,,,,,,,0.1014588859416445
11_donors,0.9055011812352346,,,,,,,,,,,,,,0.534930813364833
20_letter,0.05000000000000001,,,,,,,,,,,,,,0.01
15_Hepatitis,0.6794871794871795,,,,,,,,,,,,,,0.5192307692307693
5_campaign,0.4331896551724138,,,,,,,,,,,,,,0.4435344827586206
33_skin,0.8694444444444445,,,,,,,,,,,,,,0.8059386973180076
28_pendigits,0.01282051282051282,,,,,,,,,,,,,,0.5705128205128205
7_Cardiotocography,0.44635193133047213,,,,,,,,,,,,,,0.6394849785407726
14_glass,0.3055555555555556,,,,,,,,,,,,,,0.1388888888888889
39_vertebral,0.2545454545454545,,,,,,,,,,,,,,0.1272727272727272
