,diffusion,IForest,OCSVM,CBLOF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,DeepSVDD,DAGMM,diffusion_1
36_speech.npz,,,,,,,,,,,,,,,,
8_celeba.npz,,,,,,,,,,,,,,,,
41_Waveform.npz,,,,,,,,,,,,,,,,
37_Stamps.npz,,,,,,,,,,,,,,,,
31_satimage-2.npz,,,,,,,,,,,,,,,,
9_census.npz,,,,,,,,,,,,,,,,
43_WDBC.npz,,,,,,,,,,,,,,,,
46_WPBC.npz,,,,,,,,,,,,,,,,
19_landsat.npz,,,,,,,,,,,,,,,,
27_PageBlocks.npz,,,,,,,,,,,,,,,,
45_wine.npz,,,,,,,,,,,,,,,,
42_WBC.npz,,,,,,,,,,,,,,,,
17_InternetAds.npz,,,,,,,,,,,,,,,,
6_cardio.npz,,,,,,,,,,,,,,,,
23_mammography.npz,,,,,,,,,,,,,,,,
47_yeast.npz,,,,,,,,,,,,,,,,
4_breastw.npz,,,,,,,,,,,,,,,,
26_optdigits.npz,,,,,,,,,,,,,,,,
22_magic.gamma.npz,,,,,,,,,,,,,,,,
12_fault.npz,,,,,,,,,,,,,,,,
38_thyroid.npz,,,,,,,,,,,,,,,,
2_annthyroid.npz,,,,,,,,,,,,,,,,
32_shuttle.npz,,,,,,,,,,,,,,,,
25_musk.npz,,,,,,,,,,,,,,,,
30_satellite.npz,,,,,,,,,,,,,,,,
35_SpamBase.npz,,,,,,,,,,,,,,,,
29_Pima.npz,,,,,,,,,,,,,,,,
24_mnist.npz,,,,,,,,,,,,,,,,
40_vowels.npz,,,,,,,,,,,,,,,,
10_cover.npz,,,,,,,,,,,,,,,,
34_smtp.npz,,,,,,,,,,,,,,,,
3_backdoor.npz,,,,,,,,,,,,,,,,
16_http.npz,,,,,,,,,,,,,,,,
18_Ionosphere.npz,,,,,,,,,,,,,,,,
44_Wilt.npz,,,,,,,,,,,,,,,,
13_fraud.npz,,,,,,,,,,,,,,,,
21_Lymphography.npz,,,,,,,,,,,,,,,,
1_ALOI.npz,,,,,,,,,,,,,,,,
11_donors.npz,,,,,,,,,,,,,,,,
20_letter.npz,,,,,,,,,,,,,,,,
15_Hepatitis.npz,,,,,,,,,,,,,,,,
5_campaign.npz,,,,,,,,,,,,,,,,
33_skin.npz,,,,,,,,,,,,,,,,
28_pendigits.npz,,,,,,,,,,,,,,,,
7_Cardiotocography.npz,,,,,,,,,,,,,,,,
14_glass.npz,,,,,,,,,,,,,,,,
39_vertebral.npz,,,,,,,,,,,,,,,,
36_speech,0.39341549645999285,0.3684862513902326,0.3654209579268127,0.3639922960766052,0.3703308527664499,0.3596068467262847,0.3788395287224327,0.3649598075827583,0.365981572070565,0.390051811597479,0.3743184469179784,0.3892289747090683,0.3637843263136003,0.5028708869458284,0.4202074272331883,0.4033166656117476
8_celeba,0.7376157040189613,0.7460754647371817,0.719150053450077,0.7452901705745587,0.7546736221164104,0.760485203363166,0.4456788483333217,0.7722390973533266,0.6382253311033226,0.5700402274758857,0.4374141448629012,0.8514236540578052,0.8041662402357266,0.6875193867991772,0.5130498652837734,0.5837121651435395
41_Waveform,0.6528067025733093,0.7275344105326152,0.5524296828246559,0.741609814482346,0.7235667265110712,0.5943985637342908,0.7798084979054458,0.6841532016756434,0.7624715739078396,0.6131717534410533,0.7664631956912028,0.5836086175942549,0.6467564332734889,0.6103710353081987,0.4931837223219629,0.6663973668461999
37_Stamps,0.8409621351492353,0.9121612345204426,0.8935171201845191,0.9311623053900436,0.9256157500205936,0.863724978719899,0.931601636508416,0.9192454488041956,0.9237211345726132,0.8809961833109091,0.91806474642357,0.8237458469480217,0.9118317361816636,0.6728630659820424,0.7612784535544633,0.8824514676405173
31_satimage-2,0.9982259221764642,0.98837757880149,0.979974052268952,0.9935474676390512,0.9791926717317162,0.970877603373205,0.995370688892602,0.9829963732148648,0.996761447962022,0.9780918588993838,0.9943829059493036,0.9992137051197624,0.9817333870634836,0.8938895059119547,0.7345271910598272,0.9943386768622902
9_census,0.5568377042376569,0.632678858489698,0.5556929390519738,0.5830498455009823,0.5,0.5,0.4694061909817691,0.6585663227718264,0.6783622258348785,0.3841855727048769,0.4920309053319678,0.7307978539716559,0.7047150939205421,0.5640880098093183,0.6101245075506687,0.6788349389617865
43_WDBC,0.9927091668889482,0.9899528763225748,0.9978660976260336,0.9902196141193208,0.9926202542900328,0.9748377345069796,1.0,0.9872854983551168,0.9957321952520672,0.9920867786965412,0.9994665244065084,0.965946474615453,0.992975904685694,0.994665244065084,0.942295723303992,0.9804392282386414
46_WPBC,0.5440367379536781,0.580863430650457,0.5363608128494098,0.5841245895820393,0.5648349454255036,0.5083192829887301,0.5608749667228681,0.6349609548318396,0.6133862809477326,0.4905492945248025,0.5874301180228947,0.6407955453012689,0.550858550004437,0.8130490726772562,0.5052688792261958,0.4921133197266838
19_landsat,0.5245584230240233,0.6098092535678019,0.4438122466720169,0.580153466434033,0.4929358564650963,0.4201203182018554,0.6642185830659939,0.7278213124429677,0.6834067395719962,0.4121564495396683,0.6652078542959926,0.612128629962273,0.4390355722995821,0.595519224768952,0.5414632274297504,0.3650365256935559
27_PageBlocks,0.9134507715417179,0.831803905503209,0.8707408567687625,0.859286213461214,0.80848414744841,0.8795439027720879,0.9133278710910828,0.7035552770883036,0.8972761083130507,0.8561815713585721,0.9167136580154388,0.8706292021109959,0.8612261127310409,0.8021162172365874,0.7515362556329374,0.8723345462724214
45_wine,0.9827805556377408,0.9607384833870825,0.9503239740820734,0.99168614456049,0.8822450368354092,0.764253380277523,0.9703245658155568,0.9631645906683628,0.9934613450102072,0.9223349803248616,0.9823959288736352,0.9733424065800764,0.9586082428474216,0.9686381253883248,0.9731648865351046,0.9739637267374772
42_WBC,0.9719259866921885,0.9968097712150216,0.9964907483365236,0.9964907483365236,0.9946221857624646,0.9940752893993255,0.4752985142648801,0.994166438793182,0.9897912678880684,0.9923890256129796,0.8243095433415368,0.9980858627290128,0.9927080484914776,0.9286755993072646,0.5799380184121775,0.9952146568225322
17_InternetAds,0.8379666158785437,0.4553926103281275,0.6876071311966044,0.7030748353920662,0.6593806116341079,0.6601084235729444,0.7976036621864286,0.531241497524079,0.7374095336562007,0.6630230723186592,0.8062268732654949,0.4861783751428416,0.6511689203896174,0.6889760298198836,0.5731178919301301,0.719506720356968
6_cardio,0.9109424810377047,0.9111039353633064,0.9760978894140924,0.953892766846213,0.9316326811036606,0.9495369352533802,0.9394099703198856,0.822537649774651,0.948506375728262,0.9067137517863032,0.9440749697702538,0.8286248213696823,0.965393811146532,0.6621688468725955,0.7542321644498187,0.9722848191711554
23_mammography,0.5043997295508008,0.8832279238798191,0.8978807769780118,0.8564492273886158,0.9059470652036116,0.906690800501458,0.8852020621751442,0.8657881762990717,0.8892461228571832,0.8011318017269309,0.8782591241389995,0.689087656529517,0.8993365543081712,0.620880227628076,,0.881003056639387
47_yeast,0.4449405662241906,,,,,,,,,,,,,,,0.5145871903776575
4_breastw,0.9822388355818482,,,,,,,,,,,,,,,0.9924969338431572
26_optdigits,0.920431635741545,,,,,,,,,,,,,,,0.7484747993156995
22_magic.gamma,0.7265959641117287,,,,,,,,,,,,,,,0.7431355528348855
12_fault,0.6614527915403041,,,,,,,,,,,,,,,0.5182360633914719
38_thyroid,0.8225250983762797,,,,,,,,,,,,,,,0.9545071830763564
2_annthyroid,0.9037229565653193,,,,,,,,,,,,,,,0.656719323617755
32_shuttle,0.9984725631746985,,,,,,,,,,,,,,,0.9856805374908172
25_musk,1.0,,,,,,,,,,,,,,,1.0
30_satellite,0.84028304524918,,,,,,,,,,,,,,,0.7095297380216583
35_SpamBase,0.7740190156135736,,,,,,,,,,,,,,,0.7759638799466227
29_Pima,0.6892592973084035,,,,,,,,,,,,,,,0.7394270940346552
24_mnist,0.8648575982116985,,,,,,,,,,,,,,,0.8827921513432958
40_vowels,0.8573541963015647,,,,,,,,,,,,,,,0.4198577524893314
10_cover,0.9306938649286064,,,,,,,,,,,,,,,0.9524295374871916
34_smtp,0.2664181763785589,,,,,,,,,,,,,,,0.8414045036959119
3_backdoor,0.9321169118768684,,,,,,,,,,,,,,,0.8076096152782701
16_http,0.04758162199905258,,,,,,,,,,,,,,,0.9950825603713496
18_Ionosphere,0.9784509263962783,,,,,,,,,,,,,,,0.8533718329189282
44_Wilt,0.6609924311304517,,,,,,,,,,,,,,,0.3871979147653513
13_fraud,0.9613031456140168,,,,,,,,,,,,,,,0.9352223308278536
21_Lymphography,0.9980333764117548,,,,,,,,,,,,,,,1.0
1_ALOI,0.5160002025869939,,,,,,,,,,,,,,,0.5565638986883873
11_donors,0.9948658255764624,,,,,,,,,,,,,,,0.9262159697701978
20_letter,0.34887999999999997,,,,,,,,,,,,,,,0.3213066666666666
15_Hepatitis,0.8629158195586198,,,,,,,,,,,,,,,0.7539850908983765
5_campaign,0.7079412631192612,,,,,,,,,,,,,,,0.6513915509787789
33_skin,0.9639712875939046,,,,,,,,,,,,,,,0.913794012936683
28_pendigits,0.47315788669676073,,,,,,,,,,,,,,,0.9568677772431124
7_Cardiotocography,0.6087376036501522,,,,,,,,,,,,,,,0.8017834076419851
14_glass,0.6954947368421053,,,,,,,,,,,,,,,0.5786105263157895
39_vertebral,0.5487221327923439,,,,,,,,,,,,,,,0.4490065933096651
